,sender,text
692200,JA-JioPay,"You have used 50% of your 1.5 GB daily high speed data quota on your Jio Number 8240880970 as of 06-Apr-18 00:24 Hrs. To track your balance and usage, give a missed call to 1299. To know more on how to manage your Jio account, click http://tiny.jio.com/MyJioVideo . Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.
IK-612345,Idea:Today's Offer1)Rs7=Local Idea@10p+Other@30p-90Days2)Rs109=UNLIMITED Calls+1GB-28DaysDial *121#
JM-602121,Get upto Rs.90 cashback on recharge of 399 (1.5 GB/day for 84 days) through PhonePe UPI for your Jio number 8240880970. Click http://jio.com/r/7rW9xbRI to Recharge. For exciting plan offers, call 1991. T&C apply
JX-602121,Your plan for Jio no.8240880970 will expire on 10-04-2018. Avail instant discount of Rs.50 (through Myjio app) on a recharge of Rs.399 plan (1.5GB/day for 84 days). Also get more than 100% cashback upto Rs.700. Click http://jio.com/r/7q0gxpVu to recharge. T&C apply. For other plans, call 1991.
IK-612345,Idea:Today's Offer1)Rs46-1GB 3G-28Days2)Rs199=UNLIMITED Calls+1.4GB/Day-28DaysDial *121#"
722129,VM-VFCARE,"Hello, your daily data pack has been renewed.Watch movies, live TV or international shows on Vodafone Play http://bit.ly/2lR3DXQ"
263626,VM-EKARTL,"Out for Delivery: AG Enterprises 1290 Ha... with tracking ID FMPC0238496115 from flipkart.com, will be delivered before 7pm today by an EKART Wish Master (call 08199965000, PIN 108). Please pay Rs.245.0 by cash only."
476402,JMJioSvc,Welcome to Jio-AP & Telangana. Enjoy Free Incoming and Outgoing calls anywhere in India while roaming nationally. Kindly enable Data Roaming to use data services. 4G Data & SMS benefits will be as per your plan.
107303,TX-HISTYL,Make your Mom feel as loved as she makes you feel. Shop at Hi-Style and get 25% off on your purchase. Use code ESXSUDRIEF. Valid from 11th to 13th May'18. T&C.
264610,AX-DTHVID,"Learn special recipes frm masterchefs lke Harpal Singh & BhairavSingh on Cooking Active(LCN:146)@Rs25+GSTp.m.To activate gv missedcall on 18003150146 from RTN
JM-602121,Get upto Rs.100 cashback on recharge of 399 (1.5 GB/day for 84 days) using PhonePe on MyJio App for your Jio number 8073006583. Click http://jio.com/r/bmbP1okdh to recharge Now! T&C apply.
AX-650013,Unlimited Hello Tunes & Calls on Airtel!Rs219=Unlimited Local, STD+Roaming calls and 1.4GB/day+Unlimited Hello Tunes for 28 days. T&CVisit Retailer"
100593,TXKRAZYB,EMI of Rs. 1120 for order KB180129LWFQ7OQBR is overdue. Pay it immediately to avoid reporting of irregular payment to Cibil credit score agency.
596070,AM-HDFCBK,"INR 8,000.00 Dr to A/c No XX0987 towards IMPS-803207760862--HDFC-xxxxxxxxxx6908-Miscellaneous Val 01-FEB-18. Clr Bal INR 14,22,110.34."
351449,AD-HDFCBK,"Bal in A/c No XX1903 has gone below your specified limit of INR 5,000.00. Y'day EOD Bal was INR 3,954.21. Check A/c for current bal."
503843,VMZIVAME,"Time to stock up: 50 to 80% OFF!#EOSS is ONAnd we've got styles from Amante, Enamor, Triumph & Lovable too!Hurry, shop NOW: http://nsm.sg/J5EsfJ"
265457,HP-JEVNBH,Your New Life Insurance Bima Policy1on.in/s/GV2JY
548185,AD-DishTV,"Recharge date for VC No.01526404040 is 04-05-18 .To avoid hassle of recharging every month, recharge for 3 months with Rs.1581 and get 7 extra days FREE.TnC"
